阿	ā
哗	huā
晃	huǎng
濩	huò
咖	kā
楷	kǎi
么	me
隋	suí
尉	wèi
圩	wéi
旋	xuán
烊	yàng
宛	wǎn
掸	dǎn
搁	gē
据	jù
儋	dān
俞	yú
叨	dāo
唠	láo
劈	pī
嘚	dē
嘞	lei
蹬	dēng
嘀	dí
翟	dí
徊	huái
忾	kài
靡	mí
捻	niǎn
契	qì
栖	qī
煞	shā
涡	wō
酊	dīng
佃	diàn
茄	qié
琢	zuó
喋	dié
呤	lìng
晟	chéng
耙	pá
梢	shāo
峙	zhì
侗	dòng
莞	guǎn
峤	jiào
丼	dòng
乂	yì
哏	gén
搂	lǒu
牟	móu
擞	sǒu
挣	zhèng
镉	gé
渎	dú
杕	duò
柁	duò
堕	duò
呃	è
莩	fú
共	gòng
佴	èr
泄	xiè
噱	xué
繁	fán
颌	hé
侯	hóu
诘	jí
蠡	lí
呐	nà
蕃	fān
睢	suī
殖	zhí
斐	fěi
蜚	fēi
痱	fèi
馏	liú
沓	dá
镝	dī
蜇	zhē
跗	fū
槛	kǎn
垦	kěn
郄	qiè
轧	yà
伽	jiā
吱	zhī
旄	máo
呕	ǒu
扛	káng
傪	cān
杉	shān
各	gè
胳	gē
疙	gē
瘩	da
蛤	há
硌	gè
仡	gē
蜊	lí
俩	liǎ
覃	tán
艮	gěn
帑	tǎng
钥	yào
枸	gǒu
稽	jī
佝	gōu
偻	lóu
呛	qiāng
戗	qiàng
汩	gǔ
伎	jì
碌	lù
夐	xiòng
鹘	hú
臧	zāng
呱	guā
栝	guā
蔓	màn
雀	què
桄	guāng
桧	guì
鳜	guì
挟	xié
铪	hā
啰	luō
蟆	má
臊	sào
蔊	hǎn
阚	hǎn
濬	jùn
疟	nüè
喔	ō
滈	hào
蚝	háo
咧	liě
貉	háo
敱	ái
呵	hē
炅	jiǒng
咀	jǔ
饹	le
嘿	hēi
桁	héng
撇	piē
裳	shang
鹄	hú
苕	sháo
柚	yòu
唬	hǔ
瓠	hù
獴	měng
浒	hǔ
钿	diàn
俏	qiào
佗	tuó
潢	huáng
耆	qí
蛄	gū
纥	hé
浍	huì
哕	huì
沌	dùn
豁	huō
漷	huǒ
燎	liáo
彐	jì
亟	jí
肋	lèi
槫	tuán
佚	yì
偈	jì
喳	zhā
肫	zhūn
戛	jiá
渐	jiàn
掖	yè
剿	jiǎo
姣	jiāo
矫	jiǎo
矜	jīn
娆	ráo
侥	jiǎo
桔	jú
拮	jié
匮	kuì
脔	luán
粳	jīng
镗	tāng
樛	jiū
俱	jù
苣	jù
沮	jǔ
隽	juàn
撅	juē
倔	jué
吾	wú
蹶	jué
筠	yún
咔	kā
衩	chǎ
坷	kě
嵌	qiàn
乾	qián
倭	wō
馕	náng
苛	kē
嗑	kē
綮	qìng
倥	kǒng
挎	kuà
隗	kuí
傀	kuǐ
怍	zuò
癞	lài
遢	ta
擸	là
𢶍	zá
砬	lá
莨	làng
藉	jí
阆	láng
烙	lào
潦	liáo
姥	lǎo
卤	lǔ
莫	mò
挝	wō
怔	zhēng
郦	lì
栎	lì
玟	wén
踉	liàng
跄	qiāng
撩	liāo
蓼	liǎo
钌	liǎo
瞭	liào
趄	qie
朐	qú
洮	táo
蔚	wèi
猗	yī
镏	liú
氓	máng
淌	tǎng
泷	lóng
枎	fú
殷	yīn
栯	yǒu
抡	lūn
浚	jùn
捋	lǚ
蚂	mǎ
挲	sā
瞞	mán
銐	chì
谩	màn
縹	piǎo
糜	mí
弥	mí
糸	mì
眯	mī
芾	fèi
宓	mì
竺	zhú
渑	miǎn
乜	miē
戧	qiāng
瞑	míng
俟	qí
嗯	ń
淖	nào
恁	nèn
偁	chēng
辗	zhǎn
拧	níng
苧	níng
徵	zhēng
沤	ōu
磻	pán
彷	páng
逄	páng
煖	nuǎn
漼	cuǐ
铍	pī
淠	pì
纰	pī
睥	pì
埤	pí
嘌	piào
缥	piāo
骠	piào
剌	lá
氇	lu
岂	qǐ
槭	qī
嵴	jǐ
凵	qiǎn
荨	xún
犍	jiān
镪	qiāng
溱	qín
蝤	qiú
僮	tóng
瞿	qú
瀼	ráng
桡	ráo
荑	tí
潵	sǎ
鳃	sāi
糁	shēn
葚	shèn
椹	shèn
彡	shān
苫	shān
姗	shān
剡	shàn
鱓	shàn
楂	zhā
鞅	yāng
稍	shāo
捎	shāo
蛸	shāo
歙	shè
莘	shēn
祇	qí
莳	shí
厶	sī
眭	suī
铊	tā
漯	tà
梼	táo
忒	tuī
醍	tí
髈	pǎng
铫	diào
町	tīng
褪	tuì
驮	tuó
鮭	wā
崴	wǎi
澍	shù
箐	qìng
葸	xǐ
迤	yí
榅	wēn
桲	bó
汶	wèn
斡	wò
芴	wù
蚣	gōng
於	yú
菟	tú
铣	xǐ
舄	xì
熨	yùn
濯	zhuó
熏	xūn
泺	luò
觑	qù
諎	zé
忪	sōng
荥	xíng
碏	què
眙	yí
奘	zàng
泬	xuè
馧	yūn
芫	yán
菸	yān
奄	yǎn
湮	yān
阏	yān
濞	bì
窕	tiǎo
楪	yè
肄	yì
廴	yǐn
吲	yǐn
窨	yìn
玚	chàng
薁	yù
尢	yóu
蚖	yuán
圜	huán
甴	yóu
甾	zāi
菑	zāi
鋘	huá
柞	zhà
奓	zhā
崭	zhǎn
掴	guāi
啫	zhě
嬛	huán
夂	zhǐ
馗	kuí
繇	yáo
啁	zhōu
菀	wǎn
訾	zī
铤	dìng
嘬	zuō
阇	dū
唉	āi
罷	bà
峇	bā
棓	bàng
俶	chù
鏸	huì
趵	bào
堼	hèng
诒	yí
紅	hóng
芘	pí
杓	biāo
摽	biào
內	nèi
狛	bó
屬	shǔ
棹	zhào
诶	éi
锔	jū
钐	shān
藨	biāo
湴	bàn
車	chē
蟲	chóng
茈	cí
潨	cóng
錯	cuò
䌷	chōu
崚	léng
垌	dòng
崠	dōng
瘕	jiǎ
苴	jū
偲	cāi
湫	jiǎo
孖	mā
黾	mǐn
堨	yè
砲	pào
畠	tián
瑎	xié
梣	chén
螲	zhì
觜	zī
亶	dǎn
牠	tā
鲃	bā
氐	dī
圏	quān
槙	diān
圌	chuán
楯	dùn
炐	pàng
姶	è
噁	ě
哿	gě
脿	biāo
螫	shì
菻	lǐn
戆	gàng
個	gè
鬲	gé
卬	áng
毌	guàn
過	guò
沬	mèi
焘	dào
嘅	kǎi
壆	xué
鲌	bà
倓	tán
咁	gàn
郇	huán
嫚	mān
艽	jiāo
渟	tíng
泆	yì
隳	huī
䓛	qū
傒	xī
颏	kē
袓	jù
邟	kàng
忞	mín
剋	kè
蒉	kuì
樂	lè
镦	dūn
豊	lǐ
箖	lín
鎘	lì
铔	yā
硿	kōng
坶	mǔ
陸	lù
鋂	méi
唝	gòng
鉻	luò
𨦡	yóng
痺	bì
紬	chóu
穇	cǎn
沕	mì
麽	mó
硔	hóng
劄	zhā
廆	guī
燿	yào
妳	nǐ
拚	pàn
虺	huī
絜	jié
畬	shē
湣	mǐn
殑	qíng
瘥	chài
禨	jī
觭	jī
圪	gē
攝	shè
瘅	dān
韫	yùn
缏	biàn
說	shuō
娭	āi
槱	chǎo
肜	róng
節	jié
溹	suò
骀	dài
敫	jiǎo
鶗	tí
姤	gòu
呫	tiè
掞	shàn
蕰	wēn
屮	chè
喰	cān
哋	diè
玼	cǐ
憀	liáo
彟	yuē
呒	wǔ
莶	xiān
杻	chǒu
鉈	shī
殽	xiáo
炘	xīn
湑	xū
蕻	hóng
垸	yuàn
伧	cāng
睪	yì
楢	yóu
叕	zhuó
兪	yú
滃	wēng
夬	guài
垵	ǎn
缯	zēng
頫	fǔ
楽	lè
睒	shǎn
熜	cōng
篯	jiān
隹	zhuī
粢	zī
嗌	ài
伲	nì
疐	zhì
藋	diào
袷	jiá
亞	yà
蛃	bǐng
洑	fú
礉	hé
镡	chán
燀	chǎn
芔	huì
騃	ái
蓂	míng
欻	chuā
牗	yǒu
瞤	rún
呾	dá
钲	zhēng
穱	zhuō
傕	jué
猯	tuān
蟧	láo
缊	yūn
詧	chá
狶	xī
旰	gàn
柢	dǐ
唅	hán
枻	yì
咼	guō
扞	hàn
熯	hàn
悎	hào
盍	hé
歛	hān
嗙	pǎng
楤	sǒng
崀	làng
華	huá
氾	fàn
砉	huò
铦	xiān
哜	jì
間	jiān
幷	bìng
畺	jiāng
鎞	bī
斄	lí
埏	yán
絺	chī
匼	kē
姱	kuā
礌	léi
悝	kuī
靬	qián
瀹	yuè
漙	tuán
諕	háo
擿	tī
瞢	méng
曽	cēng
甯	níng
喏	nuò
炰	páo
疋	pǐ
擗	pǐ
跂	qí
徼	jiǎo
麇	qún
硏	yán
臡	ní
酾	shāi
棁	zhuō
噭	jiào
睟	suì
裼	xī
裎	chéng
惔	tán
烔	tóng
胕	fǔ
愒	kài
釐	lí
亹	wěi
憹	náo
昳	dié
鞕	yìng
狟	huán
熇	hè
樆	lí
栔	qì
抷	pī
喁	yú
囝	jiǎn
鳣	zhān
诪	zhōu
眄	miǎn
